State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andaman-&-nicobar-islands,pincode,744207,TOTAL,19,50799.0,2022,1
andaman-&-nicobar-islands,pincode,744301,TOTAL,16,33406.0,2022,1
andaman-&-nicobar-islands,pincode,744101,TOTAL,87,121168.0,2022,2
andaman-&-nicobar-islands,pincode,744102,TOTAL,62,58453.0,2022,2
andaman-&-nicobar-islands,pincode,744103,TOTAL,97,156861.0,2022,2
andaman-&-nicobar-islands,pincode,744104,TOTAL,26,32107.0,2022,2
andaman-&-nicobar-islands,pincode,744105,TOTAL,78,137418.0,2022,2
andaman-&-nicobar-islands,pincode,744107,TOTAL,22,52244.0,2022,2
andaman-&-nicobar-islands,pincode,744112,TOTAL,18,24391.0,2022,2
andaman-&-nicobar-islands,pincode,744202,TOTAL,13,20817.0,2022,2
andaman-&-nicobar-islands,pincode,744211,TOTAL,19,25543.0,2022,2
andaman-&-nicobar-islands,pincode,744301,TOTAL,14,28331.0,2022,2
andaman-&-nicobar-islands,pincode,744101,TOTAL,119,151539.0,2022,3
andaman-&-nicobar-islands,pincode,744102,TOTAL,76,102757.0,2022,3
andaman-&-nicobar-islands,pincode,744103,TOTAL,151,198569.0,2022,3
andaman-&-nicobar-islands,pincode,744104,TOTAL,31,35790.0,2022,3
andaman-&-nicobar-islands,pincode,744105,TOTAL,101,106324.0,2022,3
andaman-&-nicobar-islands,pincode,744107,TOTAL,16,29251.0,2022,3
andaman-&-nicobar-islands,pincode,744202,TOTAL,27,53016.0,2022,3
andaman-&-nicobar-islands,pincode,744204,TOTAL,11,17184.0,2022,3
andaman-&-nicobar-islands,pincode,744205,TOTAL,17,34250.0,2022,3
andaman-&-nicobar-islands,pincode,744301,TOTAL,27,67604.0,2022,3
andaman-&-nicobar-islands,pincode,744101,TOTAL,146,163498.0,2022,4
andaman-&-nicobar-islands,pincode,744102,TOTAL,80,98862.0,2022,4
andaman-&-nicobar-islands,pincode,744103,TOTAL,199,299036.0,2022,4
andaman-&-nicobar-islands,pincode,744104,TOTAL,31,55827.0,2022,4
andaman-&-nicobar-islands,pincode,744105,TOTAL,166,253344.0,2022,4
andaman-&-nicobar-islands,pincode,744107,TOTAL,38,73829.0,2022,4
andaman-&-nicobar-islands,pincode,744112,TOTAL,25,42024.0,2022,4
andaman-&-nicobar-islands,pincode,744202,TOTAL,43,68397.0,2022,4
andaman-&-nicobar-islands,pincode,744205,TOTAL,27,56611.0,2022,4
andaman-&-nicobar-islands,pincode,744211,TOTAL,27,59500.0,2022,4
andaman-&-nicobar-islands,pincode,744101,TOTAL,206,233281.0,2023,1
andaman-&-nicobar-islands,pincode,744102,TOTAL,117,134841.0,2023,1
andaman-&-nicobar-islands,pincode,744103,TOTAL,236,286594.0,2023,1
andaman-&-nicobar-islands,pincode,744105,TOTAL,164,256300.0,2023,1
andaman-&-nicobar-islands,pincode,744107,TOTAL,30,54849.0,2023,1
andaman-&-nicobar-islands,pincode,744112,TOTAL,29,49945.0,2023,1
andaman-&-nicobar-islands,pincode,744202,TOTAL,29,64193.0,2023,1
andaman-&-nicobar-islands,pincode,744205,TOTAL,27,40580.0,2023,1
andaman-&-nicobar-islands,pincode,744211,TOTAL,24,29149.0,2023,1
andaman-&-nicobar-islands,pincode,744301,TOTAL,30,58745.0,2023,1
andaman-&-nicobar-islands,pincode,744101,TOTAL,134,189989.0,2023,2
andaman-&-nicobar-islands,pincode,744102,TOTAL,82,101875.0,2023,2
andaman-&-nicobar-islands,pincode,744103,TOTAL,171,341853.0,2023,2
andaman-&-nicobar-islands,pincode,744104,TOTAL,27,34345.0,2023,2
andaman-&-nicobar-islands,pincode,744105,TOTAL,166,255069.0,2023,2
andaman-&-nicobar-islands,pincode,744107,TOTAL,20,24693.0,2023,2
andaman-&-nicobar-islands,pincode,744112,TOTAL,21,20427.0,2023,2
andaman-&-nicobar-islands,pincode,744205,TOTAL,17,31404.0,2023,2
andaman-&-nicobar-islands,pincode,744207,TOTAL,22,43459.0,2023,2
andaman-&-nicobar-islands,pincode,744301,TOTAL,25,41299.0,2023,2
andaman-&-nicobar-islands,pincode,744101,TOTAL,143,213581.0,2023,3
andaman-&-nicobar-islands,pincode,744102,TOTAL,100,120875.0,2023,3
andaman-&-nicobar-islands,pincode,744103,TOTAL,191,306744.0,2023,3
andaman-&-nicobar-islands,pincode,744104,TOTAL,30,50544.0,2023,3
andaman-&-nicobar-islands,pincode,744105,TOTAL,147,212575.0,2023,3
andaman-&-nicobar-islands,pincode,744112,TOTAL,26,46075.0,2023,3
andaman-&-nicobar-islands,pincode,744202,TOTAL,35,60750.0,2023,3
andaman-&-nicobar-islands,pincode,744205,TOTAL,16,25131.0,2023,3
andaman-&-nicobar-islands,pincode,744301,TOTAL,18,34636.0,2023,3
andaman-&-nicobar-islands,pincode,744302,TOTAL,16,24369.0,2023,3
andaman-&-nicobar-islands,pincode,744101,TOTAL,181,241849.0,2023,4
andaman-&-nicobar-islands,pincode,744102,TOTAL,121,161224.0,2023,4
andaman-&-nicobar-islands,pincode,744103,TOTAL,268,415144.0,2023,4
andaman-&-nicobar-islands,pincode,744104,TOTAL,64,80581.0,2023,4
andaman-&-nicobar-islands,pincode,744105,TOTAL,214,372312.0,2023,4
andaman-&-nicobar-islands,pincode,744107,TOTAL,42,71047.0,2023,4
andaman-&-nicobar-islands,pincode,744112,TOTAL,50,50671.0,2023,4
andaman-&-nicobar-islands,pincode,744202,TOTAL,36,60749.0,2023,4
andaman-&-nicobar-islands,pincode,744205,TOTAL,23,38962.0,2023,4
andaman-&-nicobar-islands,pincode,744301,TOTAL,24,52732.0,2023,4
andaman-&-nicobar-islands,pincode,744101,TOTAL,223,287339.0,2024,1
andaman-&-nicobar-islands,pincode,744102,TOTAL,141,182213.0,2024,1
andaman-&-nicobar-islands,pincode,744103,TOTAL,302,456306.0,2024,1
andaman-&-nicobar-islands,pincode,744104,TOTAL,59,84757.0,2024,1
andaman-&-nicobar-islands,pincode,744105,TOTAL,249,331342.0,2024,1
andaman-&-nicobar-islands,pincode,744107,TOTAL,52,73449.0,2024,1
andaman-&-nicobar-islands,pincode,744112,TOTAL,52,62867.0,2024,1
andaman-&-nicobar-islands,pincode,744202,TOTAL,59,110482.0,2024,1
andaman-&-nicobar-islands,pincode,744205,TOTAL,28,38204.0,2024,1
andaman-&-nicobar-islands,pincode,744207,TOTAL,40,62007.0,2024,1
andaman-&-nicobar-islands,pincode,744101,TOTAL,157,251503.0,2024,2
andaman-&-nicobar-islands,pincode,744102,TOTAL,133,203605.0,2024,2
andaman-&-nicobar-islands,pincode,744103,TOTAL,285,438830.0,2024,2
andaman-&-nicobar-islands,pincode,744104,TOTAL,49,91213.0,2024,2
andaman-&-nicobar-islands,pincode,744105,TOTAL,199,276393.0,2024,2
andaman-&-nicobar-islands,pincode,744107,TOTAL,34,52311.0,2024,2
andaman-&-nicobar-islands,pincode,744112,TOTAL,49,77583.0,2024,2
andaman-&-nicobar-islands,pincode,744202,TOTAL,28,41210.0,2024,2
andaman-&-nicobar-islands,pincode,744211,TOTAL,28,43685.0,2024,2
